title,price,isbn,publication_year,language,cover_type,pages_number,author_id,publisher_id,book_id,genre,rating
Դառը ծովը,5800.0,9789939884943,2023.0,Armenian,Hard,336.0,1,1,1,Non-Fiction,0.8
Աշխարհի պատմությունը 10½ գլուխներով,5990.0,9789939980256,2023.0,Armenian,Hard,480.0,2,2,2,Thriller,4.1
Ալ տառը,4990.0,9789939980140,2023.0,Armenian,Ultrathin,280.0,3,2,3,Science Fiction,4.3
Լուսնաքարը,5990.0,9789939980089,2023.0,Armenian,Hard,656.0,4,2,4,Self-Help,2.7
«Ծիածանը» և ․․․,8400.0,9789939113852,2023.0,Armenian,Hard,168.0,5,3,5,Fiction,4.2
Տառապանքի ուղիներում,5490.0,9789939980348,2023.0,Armenian,Hard,440.0,6,2,6,Romance,2.8
Ամոնտիլյադոյի տակառը,3990.0,9789939980300,2023.0,Armenian,Hard,168.0,7,2,7,Science Fiction,2.0
Բետոնե տեսիլք. Fragile Concrete,15000.0,2002394000008,2023.0,Armenian,Hard,76.0,8,4,8,Mystery,3.8
Փշերով դեպի աստղեր,4200.0,9789939894294,2023.0,Armenian,Hard,102.0,9,4,9,History,2.1
Թունավոր գրիչով ձեռքը,3900.0,9789939759371,2023.0,Armenian,Soft,264.0,10,5,10,Fantasy,2.7
Stalin as warlord,15200.0,9780300264616,2020.0,English,Hard,376.0,11,6,11,Mystery,3.0
Stalin. Passage to revolution,18500.0,9780691202716,2023.0,English,Soft,896.0,12,7,12,History,4.8
Նա առանց նրա,3400.0,9789939044149,2023.0,Armenian,Soft,79.0,13,4,13,Mystery,4.8
"Ծույլ, կամակոր և խռովկան բզեզի ամուսնությունը",1700.0,9789939607917,2023.0,Armenian,Soft,23.0,14,4,14,Thriller,1.8
Հրեշտակների կածանը,3500.0,9789939899749,2023.0,Armenian,Soft,138.0,15,4,15,Science Fiction,2.1
Աֆորիզմներ,1590.0,9789939769356,2023.0,Armenian,Hard,58.0,16,2,16,Self-Help,1.3
"Անտիպ գործեր, նամականիներ, նյութեր և փաստաթղթեր",16800.0,2002392000000,2023.0,Armenian,Ultrathin,750.0,17,4,17,Self-Help,2.3
Մտքից առաջ,3400.0,9789939890388,2023.0,Armenian,Soft,160.0,18,4,18,Mystery,2.0
Այբուբենի խոսքը,1700.0,9789939890371,2023.0,Armenian,Soft,43.0,18,4,19,Non-Fiction,4.4
Մաթեմատիկա 9-րդ դասարան․ 15 թեստ,1200.0,9789939759517,2023.0,Armenian,Soft,64.0,19,5,20,Science Fiction,2.3
Հեռացողների եւ մնացողների պատմությունը,5800.0,9789939884882,2023.0,Armenian,Hard,396.0,20,1,21,History,0.2
Ոսկե տաճարը,5990.0,9789939769752,2023.0,Armenian,Hard,252.0,21,2,22,Romance,3.7
Մերկ թագավորը և այլ պիեսներ,5990.0,9789939769943,2023.0,Armenian,Hard,568.0,22,2,23,Thriller,2.0
Հրաժեշտ Գաբոյին ու Մերսեդեսին,3990.0,9789939980065,2023.0,Armenian,Hard,252.0,23,2,24,Self-Help,1.1
Պարույրը,3990.0,9789939769738,2023.0,Armenian,Hard,280.0,24,2,25,Romance,2.0
Ոչ մի շաբաթ առանց Տերյանի,4200.0,9789939990064,2023.0,Armenian,Hard,160.0,25,8,26,Science Fiction,2.2
Աշխարհի մեծագույն վաճառականը․ Մաս 2,3500.0,9789939759418,2023.0,Armenian,Hard,125.0,26,5,27,Science Fiction,0.1
Բուկետ,6000.0,9789939917986,2023.0,Armenian,Hard,231.0,27,4,28,Self-Help,1.4
Անդրանիկի վերջին ձին,4800.0,9789939884899,2023.0,Armenian,Hard,292.0,28,1,29,Biography,4.0
Իմ Չարենցը,3000.0,9789939877990,2023.0,Armenian,Soft,70.0,5,9,30,Fiction,0.6
Լոռեցի Սաքոն․ Արձակ և պոեզիա,4000.0,9789939877921,2023.0,Armenian,Soft,85.0,29,9,31,History,0.7
"Հարուստ հայրիկ, աղքատ հայրիկ․ Պատանիների համար",5990.0,9789939769622,2023.0,Armenian,Ultrathin,106.0,30,2,32,Mystery,4.4
Հուշեր․ Իմ կյանքի մասին,4700.0,9789939822952,2023.0,Armenian,Soft,250.0,31,10,33,Fantasy,1.2
Aram could not be seito,4200.0,9789939822976,2023.0,English,Soft,163.0,32,10,34,Romance,1.9
Der Volkermord an den Armeniern vor Gericht. Der prozeb Talaat Pascha,5000.0,2002388000007,2023.0,German,Soft,136.0,33,10,35,Self-Help,0.8
The Armenian Genocide and Its Consequences,4000.0,9789939822891,2023.0,English,Soft,46.0,34,10,36,Mystery,4.8
Հայեր և երիտթուրքեր․ Կիլիկիայի կոտորածները,4000.0,2002385000000,2023.0,Armenian,Hard,105.0,35,10,37,Science Fiction,0.2
Մեր գյուղի պատմությունը,4200.0,9789939822921,2023.0,Armenian,Soft,240.0,36,10,38,Romance,1.0
Հոշոտված Հայաստան․Ավրորա Մարդիգանյանի պատմությունը,5000.0,9789939822860,2023.0,Armenian,Soft,233.0,37,10,39,Biography,2.7
